Game_ID,X_Model,Y_Model,Persona_X,Persona_Y,X_Card,X_Action,Y_Card,Y_Action,Winner,X_Net_Payoff,Y_Net_Payoff,Fallback
1,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
2,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
3,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
4,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
5,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
6,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
7,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
8,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
9,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
10,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
11,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
12,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
13,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
14,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
15,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
16,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
17,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
18,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
19,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
20,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
21,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
22,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
23,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
24,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
25,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,3,X,1,-1,False
